Time Stamp,Data Point 1,Data Point 2,Data Point 3,Data Point 4,Data Point 5
06-Feb-20 12:48:00,Off,No Data,376.5653076,376.0658875,Off
06-Feb-20 12:49:00,Off,No Data,378.9017639,378.6000671,Off
06-Feb-20 12:50:00,Off,No Data,381.0541077,381.190094,Off
06-Feb-20 12:51:00,Off,No Data,384.5099487,384.8217773,Off
06-Feb-20 12:52:00,Off,No Data,387.5715027,387.5713196,Off
06-Feb-20 12:53:00,Off,No Data,390.7809143,390.4943542,Off
06-Feb-20 12:54:00,Off,No Data,394.4714661,393.8496704,Off
06-Feb-20 12:55:00,Off,No Data,398.4364319,397.7397766,Off
06-Feb-20 12:56:00,Off,No Data,400.3800659,400.0869751,Off
06-Feb-20 12:57:00,Off,No Data,404.8511658,404.4273987,Off
06-Feb-20 12:58:00,Off,No Data,409.7519531,408.8397522,Off
06-Feb-20 12:59:00,Off,No Data,412.4666443,411.8968201,Off
06-Feb-20 13:00:00,Off,No Data,414.224762,414.788147,Off
06-Feb-20 13:01:00,Off,No Data,418.0511169,418.1467896,Off
06-Feb-20 13:02:00,Off,No Data,421.8852539,421.7090149,Off
06-Feb-20 13:03:00,Off,No Data,425.0113525,425.0438232,Off
06-Feb-20 13:04:00,Off,No Data,431.9443359,430.9630127,Off
06-Feb-20 13:05:00,Off,No Data,435.6924438,435.0516052,Off
06-Feb-20 13:06:00,Off,No Data,438.2631531,437.777832,Off
06-Feb-20 13:07:00,Off,No Data,440.3279724,440.0479126,Off
06-Feb-20 13:08:00,Off,No Data,444.5537415,444.1869812,Off
06-Feb-20 13:09:00,Off,No Data,447.9124451,448.3260498,Off
06-Feb-20 13:10:00,Off,No Data,452.1410828,452.2302551,Off
06-Feb-20 13:11:00,Off,No Data,459.191925,459.3700256,Off
06-Feb-20 13:12:00,Off,No Data,465.6491394,465.5267944,Off
06-Feb-20 13:13:00,Off,No Data,470.0679932,470.0971375,Off
06-Feb-20 13:14:00,Off,No Data,472.6221924,472.4368286,Off
06-Feb-20 13:15:00,Off,No Data,476.5891724,476.8286438,Off
06-Feb-20 13:16:00,Off,No Data,481.1358643,481.3429565,Off
06-Feb-20 13:17:00,Off,No Data,485.2229919,485.8069458,Off
06-Feb-20 13:18:00,Off,No Data,491.4289551,491.7558899,Off
06-Feb-20 13:19:00,Off,No Data,499.2914124,499.198822,Off
06-Feb-20 13:20:00,Off,No Data,503.1404724,503.7634277,Off
